输入,预期输出
0,零圓整
0.00,零圓整
0.5,零圓伍角
0.50,零圓伍角
0.05,零圓零伍分
1,壹圓整
1.00,壹圓整
1.23,壹圓貳角參分
3,參圓整
10,壹拾圓整
11,壹拾壹圓整
20,貳拾圓整
30,參拾圓整
100,壹佰圓整
101,壹佰零壹圓整
103,壹佰零參圓整
110,壹佰壹拾圓整
123,壹佰貳拾參圓整
300,參佰圓整
333,參佰參拾參圓整
1000,壹仟圓整
1001,壹仟零壹圓整
1010,壹仟零壹拾圓整
1030,壹仟零參拾圓整
1100,壹仟壹佰圓整
1234,壹仟貳佰參拾肆圓整
3000,參仟圓整
3333,參仟參佰參拾參圓整
10000,壹萬圓整
10001,壹萬零壹圓整
10010,壹萬零壹拾圓整
10100,壹萬零壹佰圓整
10300,壹萬零參佰圓整
11000,壹萬壹仟圓整
12345,壹萬貳仟參佰肆拾伍圓整
30000,參萬圓整
33333,參萬參仟參佰參拾參圓整
99999,玖萬玖仟玖佰玖拾玖圓整
99999.99,玖萬玖仟玖佰玖拾玖圓玖角玖分
100000,超過最大支持金額（99999.99）
100000.00,超過最大支持金額（99999.99）